# Wordlist

# DATA
ID	DOCULECT	IPA	COUNTERPART	CONCEPT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGNATES	ALIGNMENT
42	maqu1238	tiwi	tiwi	he/she/it	t i w i	1 7 6 7	AXBZ	TIWI	56	56.T.C 56.I.V 56.W.C 56.I.V	2.0 1.5 1.75 0.8	0	163	t i w i
49	pano1254	haa	haa	he/she/it	h aa	3 7	AX	HA	74	74.H.C 74.A.V	2.0 1.5	0	123	h aa - -
50	pano1254	hato	hato	he/she/it	h a t o	3 7 1 7	AXBZ	HATU	74	74.H.C 74.A.V 74.T.C 74.U.V	2.0 1.5 1.75 0.8	0	123	h a t o
51	pano1254	hawi	hawi	he/she/it	h a w i	3 7 6 7	AXBZ	HAWI	74	74.H.C 74.A.V 74.W.C 74.I.V	2.0 1.5 1.75 0.8	0	123	h a w i
62	cayu1262	r	r	he/she/it	r	5	A	R	19	19.R.C	2.0	0	127	- - r - -
63	cayu1262	ri	ri	he/she/it	r i	5 7	AX	RI	19	19.R.C 19.I.V	2.0 1.5	0	127	- - r i -
64	cayu1262	t	t	he/she/it	t	1	A	T	19	19.T.C	2.0	0	234	- - - t - -
65	cayu1262	ta	ta	he/she/it	t a	1 7	AX	TA	19	19.T.C 19.A.V	2.0 1.5	0	234	- - - t a -
66	cayu1262	tite	tite	he/she/it	t i t e	1 7 1 7	AXBZ	TITE	19	19.T.C 19.I.V 19.T.C 19.E.V	2.0 1.5 1.75 0.8	0	234	t - i t e -
67	cayu1262	i	i	he/she/it	i	7	X	I	19	19.I.V	1.5	0	156	i
68	cayu1262	rae	rae	he/she/it	r a e	5 7 7	AXZ	RAE	19	19.R.C 19.A.V 19.E.V	2.0 1.5 0.8	0	127	- - r a e
78	east2555	hae	hae	he/she/it	h a e	3 7 7	AXZ	HAE	32	32.H.C 32.A.V 32.E.V	2.0 1.5 0.8	0	123	h a - e
83	iyow1239	lam	lam	he/she/it	l a m	5 7 4	AXN	LAM	44	44.L.C 44.A.V 44.M.c	2.0 1.5 0.8	0	152	l - a m
90	cofa1242	hoβa	hoβa	he/she/it	h o β a	3 7 3 7	AXBZ	HUBA	27	27.H.C 27.U.V 27.B.C 27.A.V	2.0 1.5 1.75 0.8	0	135	h o β a
91	cofa1242	tise	tise	he/she/it	t i s e	1 7 3 7	AXBZ	TISE	27	27.T.C 27.I.V 27.S.C 27.E.V	2.0 1.5 1.75 0.8	0	225	t i s e
92	cofa1242	ca	ca	he/she/it	c a	1 7	AX	CA	27	27.C.C 27.A.V	2.0 1.5	0	254	c a
97	colo1256	ya	ya	he/she/it	y a	7 7	XZ	YA	28	28.Y.V 28.A.V	1.5 0.8	0	120	y - a
101	nort2972	iji	iji	he/she/it	i j i	7 6 7	XBZ	IJI	67	67.I.V 67.J.C 67.I.V	1.5 1.75 0.8	0	158	i j i -
102	nort2972	iru	iru	he/she/it	i r u	7 5 7	XBZ	IRY	67	67.I.V 67.R.C 67.Y.V	1.5 1.75 0.8	0	142	- i r u
108	epen1239	iru	iru	he/she/it	i r u	7 5 7	XBZ	IRY	34	34.I.V 34.R.C 34.Y.V	1.5 1.75 0.8	0	142	- i r u
109	epen1239	ici	ici	he/she/it	i c i	7 1 7	XBZ	ICI	34	34.I.V 34.C.C 34.I.V	1.5 1.75 0.8	0	172	- - - i c i
114	wayu1243	nia	nia	he/she/it	n i a	4 7 7	AXZ	NIA	105	105.N.C 105.I.V 105.A.V	2.0 1.5 0.8	0	192	n i a
115	wayu1243	hia	hia	he/she/it	h i a	3 7 7	AXZ	HIA	105	105.H.C 105.I.V 105.A.V	2.0 1.5 0.8	0	123	h i - a
119	para1311	haʔe	haʔe	he/she/it	h a ʔ e	3 7 1 7	AXBZ	HAHE	75	75.H.C 75.A.V 75.H.C 75.E.V	2.0 1.5 1.75 0.8	0	153	h a ʔ e
